trip_distance_km,trip_duration_min,surge_multiplier,traffic_level,vehicle_type,weather_condition,peak_hour,pickup_zone,fuel_price_per_liter,demand_index,driver_rating,customer_rating,music_preference,customer_loyalty_score,phone_battery_level,ride_fare
18.17,58.94,1.5,Low,Mini,Sunny,0,Urban,107.88,283.59,3.38,4.66,Rock,75.66,21,1299.45
5.76,22.9,1.0,Low,Mini,Rainy,1,SemiUrban,113.43,222.12,3.62,3.1,Rock,10.39,96,586.6
20.31,48.12,1.0,Low,Sedan,Sunny,0,SemiUrban,109.02,97.95,3.6,4.05,Rock,86.92,28,882.65
2.34,12.78,1.0,Low,Mini,Foggy,0,SemiUrban,110.33,153.53,4.9,4.06,Rock,69.97,15,455.0
36.46,123.62,1.5,Low,Sedan,Rainy,1,Urban,96.76,256.29,,4.92,Pop,10.79,91,2284.11
11.09,59.82,1.0,Low,SUV,Sunny,0,Airport,115.38,62.66,4.11,4.64,None,37.95,80,927.41
26.84,78.65,2.0,Low,Mini,Rainy,1,SemiUrban,94.66,134.14,4.16,3.78,Classical,37.81,44,2014.73
13.16,44.04,2.5,Low,Sedan,Rainy,0,SemiUrban,100.19,146.96,,4.22,Classical,70.41,31,1879.62
21.28,53.54,1.5,Low,Sedan,Rainy,0,Airport,116.68,163.16,3.45,4.31,Rock,14.98,33,1646.66
22.32,82.34,1.2,Low,Sedan,Sunny,0,Airport,93.26,189.66,,4.34,Rock,6.15,28,1325.72
8.21,43.9,1.0,Low,Mini,Sunny,0,Airport,116.0,173.42,3.83,4.82,Pop,2.5,23,718.07
,152.96,1.0,Medium,SUV,Foggy,1,SemiUrban,104.26,90.67,3.82,4.16,Pop,86.74,56,1596.93
31.23,85.15,1.2,Low,Sedan,Rainy,0,Airport,95.51,154.23,3.67,3.44,None,61.88,40,1662.91
37.64,162.31,1.0,Low,Mini,Sunny,1,Urban,112.12,142.26,,4.29,Pop,2.06,22,1474.44
35.9,93.76,1.0,Low,Sedan,Sunny,1,Urban,98.52,282.33,4.3,3.47,None,93.7,75,1302.39
24.32,70.09,1.2,Medium,SUV,Sunny,1,Urban,110.34,235.71,4.52,3.23,Pop,10.84,87,1452.75
36.95,112.07,1.2,High,Sedan,Sunny,0,Urban,113.73,266.52,3.64,4.22,None,74.87,58,1870.1
4.45,33.28,1.5,Low,Sedan,Sunny,0,Urban,107.08,227.41,3.0,3.56,Pop,85.47,64,859.22
8.64,33.21,1.0,Medium,Sedan,Sunny,1,Urban,,64.22,4.9,4.26,Classical,64.98,23,635.1
2.76,13.17,1.0,Medium,Mini,Rainy,0,Urban,118.05,168.51,4.75,4.64,Rock,7.09,84,625.61
13.69,52.51,1.2,Medium,Mini,Sunny,0,SemiUrban,106.51,244.5,3.92,,None,56.68,1,951.13
16.16,43.26,2.5,High,Mini,Sunny,0,Urban,94.57,197.86,3.77,3.12,Classical,45.29,79,2014.36
34.74,39.21,1.5,High,Mini,Sunny,0,Airport,111.29,239.64,3.89,3.17,Rock,75.9,82,5956.15
33.32,107.17,1.0,Low,Sedan,Rainy,0,SemiUrban,102.3,290.48,3.54,4.94,Rock,26.88,88,1374.77
14.91,,1.0,Low,Mini,Rainy,1,SemiUrban,105.94,111.85,4.23,3.18,Pop,69.55,29,706.28
11.96,33.03,2.0,Medium,SUV,Rainy,0,Urban,108.8,295.85,4.95,4.85,Pop,20.26,47,2045.54
22.17,93.78,1.0,High,Premium,Rainy,1,Urban,111.52,80.13,3.13,4.95,Rock,70.87,87,1484.34
6.5,32.76,1.0,High,Sedan,Rainy,0,SemiUrban,109.19,280.01,4.58,3.14,Rock,26.23,44,764.1
32.29,113.0,1.0,Low,Sedan,Sunny,0,Urban,96.99,98.3,3.12,4.07,Pop,98.7,54,1231.37
3.91,17.17,1.2,Low,Mini,Sunny,1,Airport,112.44,229.85,4.72,4.4,Classical,92.59,32,745.22
39.49,147.77,1.0,Medium,Sedan,Sunny,1,SemiUrban,114.22,245.82,3.29,3.07,Pop,50.77,59,1474.55
31.12,120.17,1.0,Medium,Sedan,Sunny,0,Urban,91.13,252.78,3.99,4.03,Rock,70.16,30,1360.28
8.75,72.46,1.2,Medium,Mini,Sunny,0,Urban,99.24,159.43,4.02,3.84,Rock,81.48,71,764.68
1.22,17.14,1.0,Medium,Mini,Rainy,1,Urban,119.33,92.34,4.26,4.02,Pop,68.28,89,472.97
32.8,97.41,1.2,Low,Sedan,Foggy,0,SemiUrban,95.33,249.01,4.21,4.1,None,81.36,29,1526.47
28.57,113.32,1.2,High,Sedan,Sunny,0,Airport,95.48,211.11,4.4,4.43,Pop,30.86,89,1621.8
29.43,92.55,1.2,High,Sedan,Rainy,0,Airport,107.74,114.48,4.7,3.25,Pop,12.15,83,1641.97
31.08,88.55,1.0,Medium,SUV,Sunny,1,SemiUrban,100.14,148.15,3.07,4.99,Classical,12.36,44,1240.99
3.89,31.27,1.2,Medium,SUV,Rainy,0,SemiUrban,109.71,124.4,4.48,3.56,Rock,64.42,85,879.85
14.98,51.33,1.0,Medium,Mini,Sunny,0,Urban,97.88,278.7,3.1,4.96,None,46.97,88,823.47
5.52,15.01,1.0,Low,SUV,Sunny,0,Airport,102.78,250.93,4.59,4.37,Pop,81.87,38,835.02
34.66,106.23,1.2,Low,Sedan,Sunny,1,Urban,119.95,270.63,4.59,4.37,Classical,5.86,33,1671.09
,75.78,1.2,Low,SUV,Rainy,0,SemiUrban,101.2,62.9,3.38,4.84,Classical,54.55,90,1304.84
,43.51,1.0,High,SUV,Sunny,0,Airport,92.58,215.26,3.42,4.77,Pop,15.88,40,1014.59
3.48,18.01,1.0,Low,Mini,Sunny,0,SemiUrban,112.27,116.9,3.16,3.45,None,70.46,13,351.66
13.13,27.57,1.0,Low,Mini,Foggy,0,Airport,107.66,237.05,3.48,4.39,Rock,32.42,2,829.54
13.68,65.69,1.2,Medium,Sedan,Rainy,0,SemiUrban,103.34,272.77,4.0,4.01,None,23.81,43,1202.66
29.45,121.32,1.2,Low,Mini,Sunny,1,Urban,117.26,241.48,3.78,3.98,Classical,0.81,65,1542.73
25.86,78.22,1.5,Low,Sedan,Sunny,1,Airport,94.4,277.71,3.45,3.03,Pop,51.17,34,1857.09
35.6,145.76,1.5,Medium,Sedan,Rainy,1,Airport,104.69,149.68,4.24,4.05,Classical,60.3,58,2418.97
19.42,64.56,2.0,Medium,Mini,Sunny,0,Airport,95.75,206.04,4.05,3.19,Rock,69.82,20,1933.93
5.66,15.22,1.0,Medium,Sedan,Rainy,0,SemiUrban,92.5,168.71,3.25,3.54,None,98.7,1,571.24
28.82,55.87,1.0,Medium,Sedan,Rainy,0,Urban,103.27,257.52,3.64,,Classical,56.55,41,1191.65
30.67,87.41,1.5,Medium,Mini,Sunny,1,Urban,118.42,190.77,4.88,3.8,Classical,65.23,26,1709.35
22.89,84.4,1.0,Medium,Sedan,Foggy,1,Airport,111.66,227.47,4.35,4.85,Rock,59.21,62,1178.78
31.07,120.24,1.2,Medium,Sedan,Rainy,1,Urban,97.04,207.73,4.9,4.6,Classical,68.83,84,1688.4
20.26,61.75,1.0,Low,Sedan,Rainy,0,SemiUrban,103.88,265.53,3.91,3.12,Classical,92.18,82,1032.14
21.39,73.49,2.0,Medium,Sedan,Sunny,0,Airport,113.92,182.07,3.04,4.43,Rock,96.59,40,2321.59
17.67,70.0,1.0,Low,Sedan,Rainy,1,SemiUrban,95.86,77.21,4.58,4.46,Rock,58.12,94,866.19
1.99,0.24,1.0,Low,Mini,Rainy,0,SemiUrban,96.11,287.22,3.19,4.56,Classical,58.85,92,483.73
5.21,20.46,1.2,Low,SUV,Sunny,0,Urban,95.43,188.98,4.89,4.31,Classical,82.97,18,837.77
2.23,10.28,1.0,Low,Sedan,Rainy,0,Airport,108.22,245.7,3.61,3.13,Rock,1.58,29,687.71
25.82,90.13,2.0,Medium,Sedan,Sunny,1,SemiUrban,90.87,219.76,4.32,4.31,Rock,19.29,98,2244.96
,65.21,1.0,Medium,Mini,Sunny,0,Airport,107.63,157.91,4.69,3.43,Rock,17.52,42,831.39
20.83,50.94,1.2,Low,Mini,Foggy,0,Airport,114.76,287.82,3.92,4.19,Classical,7.22,26,1218.05
36.4,126.73,1.0,High,SUV,Sunny,0,SemiUrban,113.48,233.21,3.86,4.36,Classical,35.98,91,1613.05
10.72,30.26,1.5,Medium,Mini,Sunny,0,Urban,110.0,107.88,3.37,3.21,Classical,75.2,95,908.36
17.0,43.77,2.0,High,Sedan,Sunny,0,Urban,96.58,298.95,4.46,3.93,Rock,59.55,93,1965.34
30.47,104.33,1.5,Medium,Sedan,Sunny,1,Airport,114.49,299.97,3.68,3.47,Rock,26.76,13,2167.16
9.92,25.42,1.5,Low,Sedan,Sunny,0,Urban,118.72,122.38,4.26,4.61,Pop,89.17,59,923.33
4.0,9.9,1.0,High,Mini,Sunny,1,Airport,95.51,296.3,3.49,4.86,Pop,31.24,49,625.89
12.3,30.39,2.0,High,Mini,Rainy,0,Airport,117.31,204.34,4.48,4.03,Pop,52.33,33,1883.37
,28.84,1.2,Medium,Mini,Rainy,0,SemiUrban,115.59,96.31,4.39,4.11,Rock,4.31,7,689.99
37.26,128.07,2.0,Low,Sedan,Sunny,0,Airport,119.38,294.56,3.02,,Pop,84.09,26,3196.82
32.52,105.73,1.2,Low,SUV,Rainy,0,SemiUrban,99.58,75.48,3.2,3.78,Pop,97.73,97,1644.73
25.7,,1.0,High,Mini,Sunny,0,Urban,118.02,209.35,3.16,3.29,Classical,89.12,50,1093.92
34.99,86.4,1.2,Low,SUV,Sunny,0,SemiUrban,95.39,259.28,3.07,4.41,Classical,40.86,19,1620.1
32.34,85.21,1.0,Medium,Mini,Foggy,1,Urban,95.26,257.32,3.12,4.92,None,15.69,66,1212.73
8.28,45.08,1.2,Medium,SUV,Sunny,0,SemiUrban,93.21,51.55,3.65,4.61,Rock,30.26,48,860.36
35.81,91.58,1.0,Low,Sedan,Sunny,0,Urban,102.83,156.29,4.53,3.78,None,91.62,99,1210.14
22.03,82.16,1.0,Medium,Mini,,0,Airport,90.37,72.19,4.07,4.33,Classical,97.4,22,1051.35
32.49,76.45,2.5,Medium,Sedan,Foggy,0,SemiUrban,101.44,114.9,3.21,4.99,Classical,5.99,24,3069.95
35.95,84.53,2.0,Low,Sedan,Sunny,0,Urban,108.78,284.51,3.1,3.08,None,13.23,33,2669.41
13.4,49.43,2.0,Medium,Mini,Sunny,1,SemiUrban,92.35,271.11,3.21,3.56,None,82.11,66,1443.23
5.29,18.34,1.5,High,Mini,Rainy,0,Airport,114.55,214.8,3.75,3.16,Classical,17.18,71,1138.51
9.89,44.15,1.2,Medium,Mini,Sunny,0,Urban,98.78,274.6,3.61,,Pop,38.68,30,869.62
17.66,62.82,1.2,Medium,SUV,Sunny,0,Airport,91.39,129.06,4.42,4.68,Pop,3.65,36,1351.54
32.9,96.62,1.0,Medium,SUV,Sunny,0,SemiUrban,101.24,257.04,4.25,3.73,Pop,20.75,7,1392.29
34.57,124.34,2.0,Low,Mini,Sunny,0,Airport,94.15,221.24,4.75,3.79,Classical,17.71,73,2724.47
1.27,13.54,2.0,High,Sedan,Sunny,0,Urban,113.86,233.5,4.9,3.59,None,81.64,88,1242.6
20.92,76.51,1.5,Medium,Mini,Rainy,1,Airport,100.02,71.44,3.0,4.13,Pop,5.98,24,1442.17
17.28,82.59,2.0,Low,Mini,Sunny,0,Airport,93.51,137.24,3.46,3.25,Classical,59.59,43,1787.62
9.66,,1.2,Medium,Sedan,,0,Urban,103.61,62.18,3.16,3.38,Rock,58.43,89,757.35
5.67,12.37,1.0,Medium,Sedan,Rainy,1,Urban,103.56,87.63,3.61,3.16,Classical,94.91,43,565.6
14.17,39.93,2.5,Low,Mini,Sunny,0,Airport,98.27,117.87,4.19,3.29,Pop,9.99,61,1854.38
37.77,94.44,1.2,High,SUV,Sunny,0,SemiUrban,99.81,196.42,3.53,4.69,Pop,64.19,4,1858.93
13.6,30.97,1.2,Low,Mini,Rainy,0,Airport,113.07,239.97,3.38,3.36,Pop,75.99,56,1026.01
21.23,62.02,1.0,Medium,SUV,Foggy,0,Airport,109.16,77.12,3.77,3.97,Classical,0.82,3,1168.13
28.42,97.54,1.2,Medium,Sedan,Sunny,0,Urban,96.44,63.67,3.04,4.4,None,64.76,17,1391.21
15.18,44.84,1.5,Low,Mini,Rainy,0,Urban,118.45,270.91,4.95,3.38,Classical,11.48,77,1299.65
38.9,123.43,1.2,High,Sedan,Rainy,0,Urban,99.14,82.6,4.93,3.9,Classical,63.02,98,1736.38
38.54,76.79,1.2,Medium,Mini,Foggy,1,Urban,106.0,162.08,3.27,3.43,Rock,28.68,99,1517.06
10.82,32.27,1.0,Medium,Mini,Rainy,0,Airport,107.13,78.19,3.38,4.83,Pop,10.95,9,744.16
20.39,85.09,1.2,Medium,Mini,Sunny,1,Urban,96.41,183.76,4.13,3.07,None,45.58,56,1060.42
,44.68,2.0,High,Mini,Sunny,0,Urban,98.74,76.57,3.62,,Rock,62.33,76,1354.46
12.11,31.63,1.0,Low,Mini,Rainy,0,SemiUrban,104.42,240.57,3.02,4.76,Classical,31.7,99,747.93
2.44,13.55,1.0,Medium,Sedan,Sunny,0,SemiUrban,97.69,71.39,3.11,4.57,Rock,52.74,55,427.08
24.77,88.68,1.0,High,Mini,Sunny,1,SemiUrban,99.17,157.55,4.35,3.47,Pop,36.93,21,992.32
20.6,62.41,2.0,Low,Mini,Rainy,1,SemiUrban,108.39,155.14,3.42,4.07,Pop,93.94,39,1860.48
3.01,17.25,1.2,Low,SUV,Foggy,0,Airport,112.01,280.19,4.08,3.12,None,59.59,98,953.54
11.87,33.63,2.5,High,SUV,Sunny,1,SemiUrban,114.03,157.45,3.55,3.56,Classical,32.48,37,2194.77
36.42,153.63,1.2,High,Mini,Sunny,1,SemiUrban,93.65,67.74,4.05,3.77,Pop,21.71,80,1665.81
10.34,40.15,1.2,Medium,Sedan,Sunny,1,SemiUrban,,185.85,5.0,3.15,Rock,57.75,42,864.66
6.65,31.48,1.5,Medium,Sedan,Sunny,1,Airport,118.09,231.24,4.38,3.33,Rock,98.04,92,1297.27
20.09,43.36,1.0,Medium,Mini,Sunny,0,Airport,107.42,134.34,3.69,4.69,Rock,47.91,59,905.24
39.44,138.94,1.0,Low,Mini,Rainy,0,Airport,108.14,202.14,4.93,3.94,Pop,91.17,22,1434.57
10.44,35.24,1.2,Medium,SUV,Foggy,1,SemiUrban,118.66,80.41,3.07,4.88,None,53.02,70,912.73
27.21,70.69,1.0,Medium,Sedan,Foggy,0,Airport,116.08,156.33,3.34,3.31,None,80.41,40,1307.86
30.7,75.76,1.0,Low,SUV,Sunny,1,Airport,106.73,91.48,,4.34,None,58.97,86,1272.08
10.27,34.65,1.0,Medium,Sedan,Sunny,0,SemiUrban,112.98,118.41,3.58,4.53,None,58.47,9,639.0
29.4,112.5,1.0,Medium,Sedan,Foggy,0,Airport,95.43,210.25,,4.55,Pop,42.14,44,1428.33
15.34,49.43,1.0,Medium,Sedan,Rainy,0,Airport,102.39,238.4,3.07,,None,68.69,27,1090.15
25.66,93.45,1.5,Medium,Sedan,Rainy,0,Airport,111.46,127.88,3.55,3.34,Pop,49.4,94,1951.94
25.71,86.13,1.0,High,Sedan,Sunny,1,SemiUrban,98.66,297.45,4.71,3.89,Classical,84.5,87,1205.08
21.9,74.76,1.0,Low,Mini,Rainy,0,Airport,103.62,121.2,3.8,,Pop,92.24,98,1002.89
4.52,12.24,1.0,Medium,Sedan,Rainy,0,Urban,95.18,87.54,3.41,4.14,None,49.13,74,523.66
33.58,83.8,1.2,Medium,Sedan,Sunny,0,Airport,116.93,266.86,4.04,3.75,Classical,26.31,57,1694.23
,37.51,1.2,Low,Mini,Rainy,1,SemiUrban,116.87,212.43,3.73,3.03,None,44.97,56,872.45
8.27,17.48,2.0,Low,Sedan,Rainy,0,Urban,104.35,219.89,3.56,4.22,None,70.42,80,1294.21
2.59,9.33,1.5,Medium,SUV,Rainy,0,Urban,95.76,248.58,4.7,4.79,Pop,50.27,50,1134.64
24.04,83.63,1.0,Medium,Premium,Sunny,0,SemiUrban,110.38,299.87,4.7,3.41,Classical,39.63,41,1487.62
27.43,85.35,1.0,High,SUV,Sunny,0,Airport,96.41,121.03,3.84,4.99,Pop,2.69,57,1453.53
1.65,21.29,1.0,Medium,Mini,Rainy,0,SemiUrban,96.86,187.01,4.21,3.42,Rock,18.37,92,438.73
20.97,72.85,2.5,Low,Mini,Sunny,1,SemiUrban,119.16,226.06,,4.14,Classical,84.09,76,2238.76
9.83,26.27,1.2,Medium,Mini,Foggy,0,SemiUrban,92.99,86.55,4.41,3.96,None,76.43,12,547.63
,76.24,1.0,Medium,Sedan,Rainy,0,Urban,101.38,126.71,3.67,4.54,Rock,8.37,25,1205.74
7.8,25.17,1.0,Medium,SUV,Rainy,1,Airport,106.65,126.66,4.32,3.98,Rock,10.62,77,892.66
27.95,96.07,1.2,High,SUV,Sunny,0,SemiUrban,93.23,131.86,4.84,3.67,Pop,93.38,58,1582.45
16.08,65.78,1.0,Medium,SUV,Sunny,0,Airport,91.17,229.55,3.11,4.92,Rock,79.75,40,1143.9
37.53,129.17,1.5,Low,Mini,Sunny,0,Urban,106.27,198.13,3.15,,None,40.61,34,2072.72
6.36,27.13,1.2,Low,Mini,,0,Airport,93.44,228.97,4.71,3.09,Classical,97.27,80,712.11
,46.18,1.2,Medium,SUV,Sunny,0,SemiUrban,97.54,178.09,4.2,3.89,None,97.3,92,995.44
5.43,30.41,1.2,Low,SUV,Sunny,0,Urban,,288.87,,4.0,Classical,99.77,26,828.56
37.06,112.01,1.0,Medium,Sedan,Sunny,1,Urban,100.42,180.16,,3.07,Pop,37.98,88,1381.86
35.22,106.96,1.2,Medium,Sedan,Sunny,0,Urban,111.32,200.89,3.21,4.37,None,53.28,34,1651.55
11.06,37.22,1.5,Medium,Sedan,Sunny,0,Urban,118.87,124.57,4.68,3.97,Rock,65.1,11,1004.6
26.74,91.61,1.0,Medium,Sedan,Sunny,0,SemiUrban,112.6,64.69,3.97,3.23,Pop,81.85,36,1092.64
32.87,133.86,1.2,Medium,Mini,Sunny,0,SemiUrban,120.0,253.88,3.58,3.67,Pop,19.43,66,1579.89
22.65,84.57,1.5,Low,Sedan,Foggy,0,Airport,101.67,264.11,4.24,4.0,Rock,32.73,49,1741.04
21.66,44.37,1.0,Medium,Sedan,Sunny,1,Urban,99.16,262.72,3.35,4.74,None,35.74,77,993.01
10.43,33.35,1.2,Medium,Mini,Sunny,0,Airport,96.38,250.41,4.08,3.92,None,83.47,33,912.11
4.63,7.51,1.0,Medium,Premium,Sunny,1,Urban,116.55,117.15,3.98,4.81,Rock,47.77,36,814.43
35.99,99.88,1.5,Low,Mini,Sunny,0,Airport,,193.7,3.48,,None,57.89,99,1982.8
36.12,75.0,1.0,Medium,Sedan,Sunny,0,Airport,111.33,253.73,4.34,4.29,None,78.21,46,1459.06
25.69,111.79,1.2,Medium,Sedan,Rainy,0,SemiUrban,110.24,206.36,3.7,4.24,Classical,63.74,64,1462.66
14.22,36.75,1.0,Low,Sedan,Foggy,0,Urban,91.71,289.64,4.7,4.46,None,91.38,77,852.21
14.62,70.27,1.0,High,Mini,Sunny,1,Airport,116.39,219.42,3.17,3.89,Rock,15.38,48,1024.49
29.31,101.56,1.5,Medium,Sedan,Rainy,0,Airport,104.6,190.17,4.54,3.84,Rock,47.15,48,2098.77
35.99,139.88,1.2,Medium,Mini,Foggy,0,Urban,96.71,298.85,3.88,3.44,Classical,38.79,22,1702.27
35.6,107.03,2.0,Medium,Mini,Sunny,1,Airport,119.37,183.64,3.62,4.12,None,81.59,89,2690.6
31.42,74.01,1.2,High,Mini,,0,Urban,,291.74,4.88,4.39,None,48.24,11,1462.87
26.04,86.56,1.2,Medium,Mini,Sunny,0,Airport,108.5,53.04,3.4,3.53,Classical,92.12,91,1297.39
4.28,37.02,1.5,Medium,SUV,Rainy,0,SemiUrban,119.65,187.52,3.85,3.46,Pop,28.05,1,1186.88
7.3,24.59,1.0,Medium,Sedan,,0,SemiUrban,,122.25,3.93,3.37,None,24.64,20,579.36
36.04,100.75,1.0,Low,Mini,Sunny,1,Airport,93.63,148.91,3.6,3.12,Pop,58.65,7,1403.94
24.65,68.48,1.0,Low,SUV,Rainy,1,SemiUrban,119.73,71.98,,4.83,Pop,4.97,53,1209.68
,8.61,1.0,Low,Mini,Rainy,1,Airport,107.93,116.05,4.81,4.82,None,66.0,20,519.11
4.96,9.08,1.0,Low,Mini,Sunny,0,SemiUrban,,192.41,4.79,3.31,Rock,76.67,19,390.36
26.88,76.81,2.0,Medium,Mini,,0,SemiUrban,114.53,230.33,4.26,,Pop,26.25,67,2150.54
1.2,-8.56,1.5,Low,Sedan,Rainy,1,Urban,91.44,277.58,3.65,3.79,Rock,35.66,5,700.13
7.27,25.36,2.0,Medium,Sedan,Rainy,1,Urban,109.63,107.94,4.26,4.15,None,66.52,6,1405.31
22.4,103.18,2.5,Medium,Mini,Sunny,0,SemiUrban,94.78,248.86,4.93,4.08,Classical,55.74,80,2546.48
27.98,76.64,1.0,Low,Mini,Sunny,0,Airport,92.63,56.13,,4.39,Pop,62.77,54,999.68
26.43,58.58,1.0,Low,Sedan,Sunny,0,Airport,100.62,273.46,3.33,4.21,Classical,56.02,21,1294.7
9.75,42.66,1.2,Medium,Sedan,Foggy,1,Urban,100.69,198.69,4.63,3.52,Pop,49.77,74,949.93
28.77,107.88,2.0,Low,SUV,Sunny,0,Urban,108.02,261.44,4.6,3.76,Rock,3.02,49,2726.39
,,1.2,Medium,Sedan,Sunny,0,SemiUrban,106.96,113.8,4.83,3.73,None,37.23,8,735.01
41.07,103.24,1.2,Medium,Sedan,Sunny,0,Airport,110.64,143.25,3.1,4.86,None,60.38,79,2927.34
30.11,82.73,1.0,Medium,Sedan,Foggy,0,Airport,95.22,74.27,4.53,3.09,None,79.94,51,1266.07
26.34,76.28,1.0,Medium,Sedan,Rainy,0,SemiUrban,116.13,69.72,4.09,4.56,Pop,86.26,88,1102.88
34.12,84.56,1.0,Medium,Mini,Sunny,0,Urban,115.76,256.62,4.08,3.89,Rock,36.18,42,1303.54
26.65,98.2,1.0,High,Mini,Foggy,1,Airport,96.49,124.25,3.7,4.47,None,69.94,56,1297.73
23.16,82.03,2.0,Low,Sedan,Foggy,0,SemiUrban,,138.16,4.57,3.61,Classical,8.25,69,1967.99
4.65,20.94,1.0,High,SUV,Sunny,1,SemiUrban,104.64,182.65,3.85,3.2,Pop,36.22,42,664.18
15.34,,2.5,Medium,Mini,Sunny,0,Airport,117.64,217.67,3.72,4.61,Classical,15.92,76,2352.63
11.34,37.62,1.0,Medium,Sedan,Foggy,1,SemiUrban,117.17,61.66,4.92,3.21,None,47.0,29,835.41
